titulares,medio,titulares_norm
"súper rico: carrot cake, la receta más simple para acompañar una infusión en invierno",cronica,súper rico carrot cake receta simple acompañar infusión invierno
perra heroína: salvó a su familia humana de morir en un incendio,cronica,perra heroína salvar familia humano morir incendio
"trabajadores de la cultura cobrarán un tercer bono de $15.000 a través de anses, ¿cómo inscribirse?",cronica,trabajador cultura cobrar tercero bono $ 15000 través anse cómo inscribir
"el delantero, que viene de salir campeón con colón y de coquetear con varios conjuntos, ya sabe qué camiseta utilizará. ",cronica,delantero venir salir campeón colón coquetear varios conjunto saber camiseta utilizar
una madre antivacunas echó a su hijo de la casa porque se aplicó la dosis contra el covid,cronica,madre antivacuno echar hijo casa aplicar dosis covid
?se registró un récord histórico de consumo de energía para la temporada invernal.  recomendaciones para calefaccionar y ahorrar energía,cronica,registrar récord histórico consumo energía temporada invernal recomendación calefaccionar ahorrar energía
¿qué alimentos podrían reducir la mortalidad de los pacientes con covid?,cronica,alimento poder reducir mortalidad paciente covid
programa casa propia - casa activa: ¿cuáles son los requisitos para que un adulto mayor pueda acceder a una vivienda gratis?,cronica,programa casa propio - casa activo cuál ser requisito adulto mayor poder acceder vivienda gratis
armando pérez destruyó a mascherano a quien acusó de usar su amistad con messi para llegar a la selección,cronica,armar pérez destruir mascherano acusar usar amistad messi llegar selección
"acuchilló a su mujer y ella lo quiso defender con la mentira de ""me atacaron ladrones""",cronica,"acuchillar mujer querer defender mentira "" atacar ladrón """
el futbolista necesita una rápida salida y su entorno ya trabaja en eso.,cronica,futbolista necesitar rápido salida entorno trabajar
"así detuvieron al hombre que ""cosió"" a puñaladas a un comerciante por una cerveza",cronica,"así detener hombre "" coser "" puñalada comerciante cerveza"
whatsapp web: así podes tener dos cuentas abiertas a la vez en una misma computadora,cronica,whatsapp web así poder tener dos cuenta abierto vez mismo computadora
el delantero ya definió dónde seguirá su carrera y hasta se animó a mostrarse con fanáticos de esa institución.,cronica,delantero definir dónde seguir carrera animar mostrar fanático institución
"el desconsolado llanto de una mujer estafada por ""dos millones de pesos""",cronica,"desconsolado llanto mujer estafado "" dos millón peso """
derrumbe del edificio en miami: quiénes son las víctimas identificadas tras el colapso,cronica,derrumbe edificio miami quién ser víctima identificado tras colapso
argentina goleó a bolivia por copa américa y los memes fueron los grandes protagonistas en las redes,cronica,argentino golear bolivia copa américo meme ser grande protagonista red
"día del orgullo lgbti+: ""hay que seguir luchando porque nos siguen matando, nos siguen encarcelando""",cronica,"día orgullo lgbti "" haber seguir luchar seguir matar seguir encarcelar """
la iglesia recuerda hoy a san pablo y san pedro,cronica,iglesia recordar hoy san pablo san pedro
arba renovó su página web para simplificar los trámites digitales,cronica,arba renovar página web simplificar trámite digital
verónica ojeda contó que tendrán que subastar las pertenencias de diego maradona para pagar las deudas  la madre de dieguito fernando reveló que la venta de sus cosas es la única forma para saldar los números en rojo que dejó.,cronica,verónica ojedo contar tener subastar pertenencia diego maradono pagar deuda madre dieguito fernar revelar venta cosa ser único forma saldar número rojo dejar
bono de $15000: anses anunció el pago de la tercera cuota,cronica,bono $ 15000 anse anunciar pago tercero cuota
"graciela alfano apuntó contra yanina latorre por quedar varada en miami: ""que todo vuelva menos la cacatúa""  la ex vedette arremetió contra la panelista luego de su descargo contra las nuevas restricciones para ingresar a la argentina.",cronica,"graciela alfano apuntar yanina latorre quedar varada miami "" volver menos cacatúa "" ex vedette arremeter panelista luego descargo nuevo restricción ingresar argentino"
desde el viernes empieza a regir el aumento al personal doméstico: cuánto habrá que pagar,cronica,viernes empezar regir aumento personal doméstico cuánto haber pagar
origen del covid: el fundador del laboratorio moderna aseguró que salió por accidente de un laboratorio de wuhan,cronica,origen covid fundador laboratorio moderno asegurar salió accidente laboratorio wuhan
"creyeron que murió en un choque, pero tenía un balazo en el cuello",cronica,creer morir choque tener balazo cuello
beneficio para jubilados. ¿qué es y cómo inscribirse?,cronica,beneficio jubilado ser cómo inscribir
"fernanda raverta: ""la campaña de vacunación nos permite tener esperanza para seguir avanzando""",cronica,"fernanda ravertar "" campaña vacunación permitir tener esperanza seguir avanzar """
"las lágrimas de los jurados de ""la voz"" al pedirle perdón a un participante por no elegirlo  lali, ricardo montaner, sus hijos, mau y ricky y soledad pastorutti lamentaron no darse vuelta para seleccionar a ignacio sagalá.",cronica,"lágrima jurado "" voz "" pedir perdón participante elegir lali ricardo montaner hijo mau ricky soledad pastorutti lamentar dar vuelta seleccionar ignacio sagalá"
creadores de sputnik v revelaron cuál es la efectividad contra la variante delta,cronica,creador sputnik v revelar cuál ser efectividad variante delta
guernica: ¿quién era el abogado asesinado a cuchilladas en su propia casa?,cronica,guernica quién ser abogado asesinado cuchillada propio casa
"una participante de ""la voz argentina"" sorprendió con su parecido a calu rivero  jazmín sandoval logró cautivar a los jurados con su talento pero también generó gran repercusión por su similitud con la actriz.",cronica,"participante "" voz argentino "" sorprender parecido calu rivero jazmín sandoval lograr cautivar jurado talento generar gran repercusión similitud actriz"
video: elon musk se mudó a una casita de 36 metros cuadrados,cronica,video elon musk mudar casita 36 metro cuadrado
tiktok: el video con un truco para estacionar autos que se hizo viral,cronica,tiktok video truco estacionar auto hacer viral
macri publicó una carta en medio de la interna de juntos por el cambio: las 10 frases destacadas,cronica,macri publicar carta medio interno junto cambio 10 frase destacado
desde este martes ya se puede contratar el servicio en argentina: precios y títulos disponibles,cronica,martes poder contratar servicio argentino precio título disponible
covid: axel kicillof anunció la vacunación libre para mayores de 18 años con comorbilidades y grupos prioritarios,cronica,covid axel kicillof anunciar vacunación libre mayor 18 año comorbilidad grupo prioritario
"con tu cuil, consultá si podes solicitar un crédito de hasta $200.000 ",cronica,cuil consultar si poder solicitar crédito $ 200000
"la estrategia de guido kaczka para ""bienvenidos a bordo"" ",cronica,"estrategia guido kaczko "" bienvenido bordo """
"la desilusión de ricky martin por perder seguidores por las fotos con su marido  el cantante compartió románticas imágenes junto a su esposo jwan yosef, pero bajaron sus seguidores e hizo un emotivo descargo.",cronica,desilusión ricky martin perder seguidor foto marido cantante compartir romántico imagen junto esposo jwan yosef bajar seguidor hacer emotivo descargo
la película con vin diesel reenciende los motores de la exhibición en salas. ¿contnuará?,cronica,película vin diesel reencendar motor exhibición sala contnuar
"abusó de una menor edad y dijo que era ""su amante"": ¿quién es el depravado que fue detenido in fraganti?",cronica,"abusar menor edad decir ser "" amante "" quién ser depravado ser detener in fraganti"
se animó a poner una hamburguesería en plena crisis del 2001: ahora triunfa en miami y planea expandirse a europa,cronica,animar poner hamburguesería pleno crisis 2001 ahora triunfar miami planear expandir europa
pami y el ministerio de desarrollo territorial y hábitat comenzarán a financiar 100 proyectos del programa casa propia-casa activa,cronica,pami ministerio desarrollo territorial hábitat comenzar financiar 100 proyecto programa casa propia-casa activo
video fuerte: un pibe mató a golpes a otro en la escuela durante un recreo,cronica,video fuerte pibe matar golpe escuela recreo
noelia marzol reveló que su hijo no reconoció a ramiro arias tras cambiarse el look  la bailarina contó que el futbolista se sometió a una transformación estética y donatello no registró quién era.,cronica,noelia marzol revelar hijo reconocer ramiro arios tras cambiar look bailarina contar futbolista someter transformación estético donatello registrar quién ser
"un pedófilo abusaba de una nena en una camioneta cuando llegó la policía. primero, intentó ocultar a la criatura, que estaba desnuda. luego, dijo que era su ""amante"" y pidió por favor que no le contaran nada a su esposa...",cronica,"pedófilo abusar nena camioneta llegar policía primero intentar ocultar criatura desnudo luego decir ser "" amante "" pedir favor contar esposa"
pampita le frenó el carro a ximena capristo tras acusarla de tirarle onda a gustavo conti  la conductora le puso los puntos luego de que recordara un viejo episodio en el que creyó que estaba intentando seducir a su marido.,cronica,pampita frenar carro ximena capristo tras acusar tirar onda gustavo conti conductora poner punto luego recordar viejo episodio creer intentar seducir marido
"un vecino desarmó al asesino de un policía, pero terminó abatido por otro oficial que se confundió",cronica,vecino desarmar asesino policía terminar abatido oficial confundir
dan a conocer qué eficacia tiene la vacuna sputnik v contra la variable delta del covid,cronica,dar conocer eficacia tener vacuna sputnik v variable delta covid
oficializan cambios en ganancias y bienes personales: ¿cuáles son los nuevos plazos?,cronica,oficializar cambio ganancia bien personal cuál ser nuevo plazo
el orgullo de tener un papa argentino ,cronica,orgullo tener papa argentino
se trata de la compañía más joven en llegar a esa marca,cronica,tratar compañía joven llegar marca
"quiniela de la ciudad: resultados de la primera de hoy, martes 29 de junio",cronica,quiniela ciudad resultado primero hoy martes 29 junio
caba: ¿qué protocolo deben seguir quienes regresen del exterior?,cronica,caba protocolo deber seguir regresar exterior
"la indignación de pampita después de que nicole neumann obligara a su novio a ponerse bótox  después del regreso de la modelo y el automovilista tras unas mini vacaciones en miami, la conductora opinó sobre su flamante relación.",cronica,indignación pampita después nicole neumann obligar novio poner bótox después regreso modelo automovilista tras mini vacaciones miami conductora opinar flamante relación
